id,layer,source_path,line,english,proposed_ja,status,reviewer,notes
64,frontend,app/frontend/src/pages/ToolActivity.tsx,667,Group by Tool,,approved,PR-2.8,
65,frontend,app/frontend/src/pages/ToolActivity.tsx,668,Group by Category,,approved,PR-2.8,
66,frontend,app/frontend/src/pages/ToolActivity.tsx,669,Group by Session,,approved,PR-2.8,
67,frontend,app/frontend/src/pages/ToolActivity.tsx,670,Group by Model,,approved,PR-2.8,
68,frontend,app/frontend/src/pages/ToolActivity.tsx,671,Group by Status,,approved,PR-2.8,
69,frontend,app/frontend/src/pages/ToolActivity.tsx,676,Flagged only,,approved,PR-2.8,
70,frontend,app/frontend/src/pages/ToolActivity.tsx,717,Time,,approved,PR-2.8,
71,frontend,app/frontend/src/pages/ToolActivity.tsx,718,Tool,,approved,PR-2.8,
72,frontend,app/frontend/src/pages/ToolActivity.tsx,719,Category,,approved,PR-2.8,
73,frontend,app/frontend/src/pages/ToolActivity.tsx,720,Model,,approved,PR-2.8,
74,frontend,app/frontend/src/pages/ToolActivity.tsx,721,Status,,approved,PR-2.8,
75,frontend,app/frontend/src/pages/ToolActivity.tsx,723,Risk,,approved,PR-2.8,
76,frontend,app/frontend/src/pages/ToolActivity.tsx,724,Duration,,approved,PR-2.8,
77,frontend,app/frontend/src/pages/ToolActivity.tsx,725,Session,,approved,PR-2.8,
78,frontend,app/frontend/src/pages/ToolActivity.tsx,726,Actions,,approved,PR-2.8,
79,frontend,app/frontend/src/pages/ToolActivity.tsx,747,Remove flag,,approved,PR-2.8,
80,frontend,app/frontend/src/pages/ToolActivity.tsx,751,Flag as suspicious,,approved,PR-2.8,
81,frontend,app/frontend/src/pages/ToolActivity.tsx,799,No timeline data available yet.,,approved,PR-2.8,
82,frontend,app/frontend/src/pages/ToolActivity.tsx,800,Activity will appear here as tool calls are recorded.,,approved,PR-2.8,
83,frontend,app/frontend/src/pages/ToolActivity.tsx,811,Activity Over Time,,approved,PR-2.8,
84,frontend,app/frontend/src/pages/ToolActivity.tsx,815,Custom,,approved,PR-2.8,
85,frontend,app/frontend/src/pages/ToolActivity.tsx,816,Skill,,approved,PR-2.8,
86,frontend,app/frontend/src/pages/ToolActivity.tsx,817,Flagged,,approved,PR-2.8,
87,frontend,app/frontend/src/pages/ToolActivity.tsx,857,No session data available.,,approved,PR-2.8,
88,frontend,app/frontend/src/pages/ToolActivity.tsx,858,Sessions will appear here as tool activity is recorded.,,approved,PR-2.8,
89,frontend,app/frontend/src/pages/ToolActivity.tsx,869,Session,,approved,PR-2.8,
90,frontend,app/frontend/src/pages/ToolActivity.tsx,870,Tools Used,,approved,PR-2.8,
91,frontend,app/frontend/src/pages/ToolActivity.tsx,871,Total Calls,,approved,PR-2.8,
92,frontend,app/frontend/src/pages/ToolActivity.tsx,872,Flagged,,approved,PR-2.8,
93,frontend,app/frontend/src/pages/ToolActivity.tsx,873,Max Risk,,approved,PR-2.8,
94,frontend,app/frontend/src/pages/ToolActivity.tsx,874,Categories,,approved,PR-2.8,
95,frontend,app/frontend/src/pages/ToolActivity.tsx,875,Models,,approved,PR-2.8,
96,frontend,app/frontend/src/pages/ToolActivity.tsx,876,Duration,,approved,PR-2.8,
97,frontend,app/frontend/src/pages/ToolActivity.tsx,877,Last Activity,,approved,PR-2.8,
98,frontend,app/frontend/src/pages/ToolActivity.tsx,908,View session activity,,approved,PR-2.8,
99,frontend,app/frontend/src/pages/ToolActivity.tsx,995,Performance,,approved,PR-2.8,
100,frontend,app/frontend/src/pages/ToolActivity.tsx,999,Average,,approved,PR-2.8,
101,frontend,app/frontend/src/pages/ToolActivity.tsx,1013,Tool Usage Distribution,,approved,PR-2.8,
102,frontend,app/frontend/src/pages/ToolActivity.tsx,1015,No tool usage recorded yet.,,approved,PR-2.8,
103,frontend,app/frontend/src/pages/ToolActivity.tsx,1033,By Category,,approved,PR-2.8,
104,frontend,app/frontend/src/pages/ToolActivity.tsx,1044,By Status,,approved,PR-2.8,
105,frontend,app/frontend/src/pages/ToolActivity.tsx,1055,By Model,,approved,PR-2.8,
106,frontend,app/frontend/src/pages/ToolActivity.tsx,1057,No model data recorded yet.,,approved,PR-2.8,
107,frontend,app/frontend/src/pages/ToolActivity.tsx,1119,Interaction Types,,approved,PR-2.8,
108,frontend,app/frontend/src/pages/ToolActivity.tsx,1159,Activity Over Time,,approved,PR-2.8,
109,frontend,app/frontend/src/pages/ToolActivity.tsx,1160,No timeline data yet.,,approved,PR-2.8,
110,frontend,app/frontend/src/pages/ToolActivity.tsx,1170,Activity Over Time,,approved,PR-2.8,
111,frontend,app/frontend/src/pages/ToolActivity.tsx,1225,Breakdown,,approved,PR-2.8,
112,frontend,app/frontend/src/pages/ToolActivity.tsx,1244,Top Tools,,approved,PR-2.8,
113,frontend,app/frontend/src/pages/ToolActivity.tsx,1283,Tool Call Detail,,approved,PR-2.8,
114,frontend,app/frontend/src/pages/ToolActivity.tsx,1290,&times;,,approved,PR-2.8,
115,frontend,app/frontend/src/pages/ToolActivity.tsx,1300,Risk Assessment,,approved,PR-2.8,
116,frontend,app/frontend/src/pages/ToolActivity.tsx,1315,Tool,,approved,PR-2.8,
117,frontend,app/frontend/src/pages/ToolActivity.tsx,1316,Model,,approved,PR-2.8,
118,frontend,app/frontend/src/pages/ToolActivity.tsx,1317,Category,,approved,PR-2.8,
119,frontend,app/frontend/src/pages/ToolActivity.tsx,1318,Status,,approved,PR-2.8,
120,frontend,app/frontend/src/pages/ToolActivity.tsx,1319,Interaction,,approved,PR-2.8,
121,frontend,app/frontend/src/pages/ToolActivity.tsx,1320,Call ID,,approved,PR-2.8,
122,frontend,app/frontend/src/pages/ToolActivity.tsx,1321,Session,,approved,PR-2.8,
123,frontend,app/frontend/src/pages/ToolActivity.tsx,1322,Timestamp,,approved,PR-2.8,
124,frontend,app/frontend/src/pages/ToolActivity.tsx,1323,Duration,,approved,PR-2.8,
125,frontend,app/frontend/src/pages/ToolActivity.tsx,1324,Flag Reason,,approved,PR-2.8,
126,frontend,app/frontend/src/pages/ToolActivity.tsx,1328,Arguments,,approved,PR-2.8,
127,frontend,app/frontend/src/pages/ToolActivity.tsx,1333,Result,,approved,PR-2.8,
128,frontend,app/frontend/src/pages/ToolActivity.tsx,1347,Reason for flagging...,,approved,PR-2.8,
129,frontend,app/frontend/src/pages/ToolActivity.tsx,1409,No tool activity found,,approved,PR-2.8,
130,frontend,app/frontend/src/pages/ToolActivity.tsx,1410,Tool calls will appear here as the agent executes actions.,,approved,PR-2.8,
131,frontend,app/frontend/src/pages/ToolActivity.tsx,1411,Import from existing sessions,,approved,PR-2.8,
132,frontend,app/frontend/src/pages/Profile.tsx,142,Less,少ない,approved,PR-2.4,
133,frontend,app/frontend/src/pages/Profile.tsx,146,More,多い,approved,PR-2.4,
134,frontend,app/frontend/src/pages/Profile.tsx,217,Failed to load profile,プロファイルを読み込めませんでした,approved,PR-2.4,
135,frontend,app/frontend/src/pages/Profile.tsx,256,Edit Profile,プロファイルを編集,approved,PR-2.4,
136,frontend,app/frontend/src/pages/Profile.tsx,259,Name,名前,approved,PR-2.4,
137,frontend,app/frontend/src/pages/Profile.tsx,263,Emoji,絵文字,approved,PR-2.4,
138,frontend,app/frontend/src/pages/Profile.tsx,267,Location,場所,approved,PR-2.4,
139,frontend,app/frontend/src/pages/Profile.tsx,271,Emotional state,感情状態,approved,PR-2.4,
140,frontend,app/frontend/src/pages/Profile.tsx,275,Save Changes,変更を保存,approved,PR-2.4,
141,frontend,app/frontend/src/pages/Profile.tsx,282,Today,今日,approved,PR-2.4,
142,frontend,app/frontend/src/pages/Profile.tsx,283,This Week,今週,approved,PR-2.4,
143,frontend,app/frontend/src/pages/Profile.tsx,284,This Month,今月,approved,PR-2.4,
144,frontend,app/frontend/src/pages/Profile.tsx,285,Streak,連続,approved,PR-2.4,
145,frontend,app/frontend/src/pages/Profile.tsx,286,All Time,累計,approved,PR-2.4,
146,frontend,app/frontend/src/pages/Profile.tsx,294,Activity,アクティビティ,approved,PR-2.4,
147,frontend,app/frontend/src/pages/Profile.tsx,306,Skill Usage,スキル使用回数,approved,PR-2.4,
148,frontend,app/frontend/src/pages/Profile.tsx,317,Status,ステータス,approved,PR-2.4,
149,frontend,app/frontend/src/pages/Profile.tsx,320,Emotional state,感情状態,approved,PR-2.4,
150,frontend,app/frontend/src/pages/Customization.tsx,17,Customization,,approved,PR-2.7,
151,frontend,app/frontend/src/pages/SetupWizard.tsx,144,polyclaw,,approved,PR-2.3,
152,frontend,app/frontend/src/pages/SetupWizard.tsx,145,Complete the initial setup to get started. Azure sign-in and Foundry deployment are required.,,approved,PR-2.3,
153,frontend,app/frontend/src/pages/SetupWizard.tsx,169,Azure,,approved,PR-2.3,
154,frontend,app/frontend/src/pages/SetupWizard.tsx,170,Sign in to Azure to enable cloud resource management and infrastructure provisioning.,,approved,PR-2.3,
155,frontend,app/frontend/src/pages/SetupWizard.tsx,175,"Copy the code below, then sign in at the link:",,approved,PR-2.3,
156,frontend,app/frontend/src/pages/SetupWizard.tsx,178,Copy,,approved,PR-2.3,
157,frontend,app/frontend/src/pages/SetupWizard.tsx,178,"{ navigator.clipboard.writeText(azureDevice.code); showToast('Code copied!', 'success') }}>Copy",,approved,PR-2.3,
158,frontend,app/frontend/src/pages/SetupWizard.tsx,185,Waiting for authentication...,,approved,PR-2.3,
159,frontend,app/frontend/src/pages/SetupWizard.tsx,193,Authenticated,,approved,PR-2.3,
160,frontend,app/frontend/src/pages/SetupWizard.tsx,194,No default subscription set. Select which Azure subscription to use:,,approved,PR-2.3,
161,frontend,app/frontend/src/pages/SetupWizard.tsx,223,Loading subscriptions...,,approved,PR-2.3,
162,frontend,app/frontend/src/pages/SetupWizard.tsx,230,Authenticated,,approved,PR-2.3,
163,frontend,app/frontend/src/pages/SetupWizard.tsx,233,Continue,,approved,PR-2.3,
164,frontend,app/frontend/src/pages/SetupWizard.tsx,233,{ manualStepRef.current = false; setCurrentStep('foundry') }}>Continue,,approved,PR-2.3,
165,frontend,app/frontend/src/pages/SetupWizard.tsx,251,Microsoft Foundry,,approved,PR-2.3,
166,frontend,app/frontend/src/pages/SetupWizard.tsx,252,"Deploy AI models (gpt-4.1, gpt-5, gpt-5-mini) to your Azure subscription via Bicep. This also creates a Key Vault for secrets management.",,approved,PR-2.3,
167,frontend,app/frontend/src/pages/SetupWizard.tsx,255,Deployed,,approved,PR-2.3,
168,frontend,app/frontend/src/pages/SetupWizard.tsx,259,Start Chatting,,approved,PR-2.3,
169,frontend,app/frontend/src/pages/SetupWizard.tsx,259,navigate('/chat')}>Start Chatting,,approved,PR-2.3,
170,frontend,app/frontend/src/pages/SetupWizard.tsx,270,Creates an AI Services resource with model deployments and a Key Vault. Uses Entra ID authentication (no API keys).,,approved,PR-2.3,
171,frontend,app/frontend/src/pages/SetupWizard.tsx,279,"Setup complete! Configure channels, bot service, and more from",,approved,PR-2.3,
172,frontend,app/frontend/src/pages/SetupWizard.tsx,279,Infrastructure,,approved,PR-2.3,
173,frontend,app/frontend/src/pages/SetupWizard.tsx,279,navigate('/infrastructure')}>Infrastructure,,approved,PR-2.3,
174,frontend,app/frontend/src/pages/SetupWizard.tsx,280,Start Chatting,,approved,PR-2.3,
175,frontend,app/frontend/src/pages/SetupWizard.tsx,280,navigate('/chat')}>Start Chatting,,approved,PR-2.3,
176,frontend,app/frontend/src/pages/Guardrails.tsx,62,Hardening,,approved,PR-2.10,
177,frontend,app/frontend/src/pages/Guardrails.tsx,65,Azure,,approved,PR-2.10,
178,frontend,app/frontend/src/pages/Guardrails.tsx,71,Prompt Shield not deployed.,,approved,PR-2.10,
179,frontend,app/frontend/src/pages/Guardrails.tsx,72,Policy Matrix,,approved,PR-2.10,
180,frontend,app/frontend/src/pages/Guardrails.tsx,72,setTab('matrix')}>Policy Matrix,,approved,PR-2.10,
181,frontend,app/frontend/src/pages/Guardrails.tsx,79,Combined mode active.,,approved,PR-2.10,
182,frontend,app/frontend/src/pages/Guardrails.tsx,80,docker compose up,,approved,PR-2.10,
183,frontend,app/frontend/src/pages/Guardrails.tsx,86,Two-container split active.,,approved,PR-2.10,
184,frontend,app/frontend/src/pages/Guardrails.tsx,216,Agent Sandbox,,approved,PR-2.10,
185,frontend,app/frontend/src/pages/Guardrails.tsx,217,Experimental,,approved,PR-2.10,
186,frontend,app/frontend/src/pages/Guardrails.tsx,218,Provisioned,,approved,PR-2.10,
187,frontend,app/frontend/src/pages/Guardrails.tsx,224,Session Pool,,approved,PR-2.10,
188,frontend,app/frontend/src/pages/Guardrails.tsx,230,Resource Group,,approved,PR-2.10,
189,frontend,app/frontend/src/pages/Guardrails.tsx,236,Location,,approved,PR-2.10,
190,frontend,app/frontend/src/pages/Guardrails.tsx,247,Configuration,,approved,PR-2.10,
191,frontend,app/frontend/src/pages/Guardrails.tsx,248,Sandbox settings for code execution.,,approved,PR-2.10,
192,frontend,app/frontend/src/pages/Guardrails.tsx,262,Session Pool Endpoint,,approved,PR-2.10,
193,frontend,app/frontend/src/pages/Guardrails.tsx,267,Whitelist,,approved,PR-2.10,
194,frontend,app/frontend/src/pages/Guardrails.tsx,284,Remove sandbox session pool and clear configuration.,,approved,PR-2.10,
195,frontend,app/frontend/src/pages/Guardrails.tsx,306,Deploy New,,approved,PR-2.10,
196,frontend,app/frontend/src/pages/Guardrails.tsx,307,Provision a new Azure Container Apps session pool,,approved,PR-2.10,
197,frontend,app/frontend/src/pages/Guardrails.tsx,318,Connect Existing,,approved,PR-2.10,
198,frontend,app/frontend/src/pages/Guardrails.tsx,319,Provide an existing session pool endpoint,,approved,PR-2.10,
199,frontend,app/frontend/src/pages/Guardrails.tsx,329,Deploy New Session Pool,,approved,PR-2.10,
200,frontend,app/frontend/src/pages/Guardrails.tsx,330,Creates an Azure Container Apps Dynamic Sessions pool for sandboxed code execution.,,approved,PR-2.10,
201,frontend,app/frontend/src/pages/Guardrails.tsx,335,Sign in to Azure first (Overview tab) to provision resources.,,approved,PR-2.10,
202,frontend,app/frontend/src/pages/Guardrails.tsx,340,Resource Group,,approved,PR-2.10,
203,frontend,app/frontend/src/pages/Guardrails.tsx,344,Location,,approved,PR-2.10,
204,frontend,app/frontend/src/pages/Guardrails.tsx,346,"Must support Container Apps Dynamic Sessions (e.g. eastus, westeurope).",,approved,PR-2.10,
205,frontend,app/frontend/src/pages/Guardrails.tsx,365,Connect to Existing Session Pool,,approved,PR-2.10,
206,frontend,app/frontend/src/pages/Guardrails.tsx,366,Enter the management endpoint of an existing Azure Container Apps session pool.,,approved,PR-2.10,
207,frontend,app/frontend/src/pages/Guardrails.tsx,380,Session Pool Endpoint,,approved,PR-2.10,
208,frontend,app/frontend/src/pages/Guardrails.tsx,381,.dynamicsessions.io/subscriptions/pools/,,approved,PR-2.10,
209,frontend,app/frontend/src/pages/Guardrails.tsx,385,Whitelist,,approved,PR-2.10,
210,frontend,app/frontend/src/pages/Guardrails.tsx,446,Security Verification,,approved,PR-2.10,
211,frontend,app/frontend/src/pages/Guardrails.tsx,493,Command,,approved,PR-2.10,
212,frontend,app/frontend/src/pages/Guardrails.tsx,499,Evidence,,approved,PR-2.10,
213,frontend,app/frontend/src/pages/Guardrails.tsx,655,Runtime Identity,,approved,PR-2.10,
214,frontend,app/frontend/src/pages/Guardrails.tsx,656,Loading...,,approved,PR-2.10,
215,frontend,app/frontend/src/pages/Guardrails.tsx,665,Runtime Identity,,approved,PR-2.10,
216,frontend,app/frontend/src/pages/Guardrails.tsx,666,Refresh,,approved,PR-2.10,
217,frontend,app/frontend/src/pages/Guardrails.tsx,685,Runtime Identity,,approved,PR-2.10,
218,frontend,app/frontend/src/pages/Guardrails.tsx,686,Refresh,,approved,PR-2.10,
219,frontend,app/frontend/src/pages/Guardrails.tsx,689,Display Name,,approved,PR-2.10,
220,frontend,app/frontend/src/pages/Guardrails.tsx,690,Strategy,,approved,PR-2.10,
221,frontend,app/frontend/src/pages/Guardrails.tsx,691,App ID,,approved,PR-2.10,
222,frontend,app/frontend/src/pages/Guardrails.tsx,692,MI Client ID,,approved,PR-2.10,
223,frontend,app/frontend/src/pages/Guardrails.tsx,693,Principal Object ID,,approved,PR-2.10,
224,frontend,app/frontend/src/pages/Guardrails.tsx,694,Tenant,,approved,PR-2.10,
225,frontend,app/frontend/src/pages/Guardrails.tsx,695,Principal Type,,approved,PR-2.10,
226,frontend,app/frontend/src/pages/Guardrails.tsx,732,Required Roles,,approved,PR-2.10,
227,frontend,app/frontend/src/pages/Guardrails.tsx,760,Loading role assignments...,,approved,PR-2.10,
228,frontend,app/frontend/src/pages/Guardrails.tsx,788,Fix Results,,approved,PR-2.10,
229,frontend,app/frontend/src/pages/Guardrails.tsx,806,All Role Assignments,,approved,PR-2.10,
230,frontend,app/frontend/src/pages/Guardrails.tsx,814,Role,,approved,PR-2.10,
231,frontend,app/frontend/src/pages/Guardrails.tsx,815,Scope,,approved,PR-2.10,
232,frontend,app/frontend/src/pages/Guardrails.tsx,868,Secret Explorer,,approved,PR-2.10,
233,frontend,app/frontend/src/pages/Guardrails.tsx,889,Mount path,,approved,PR-2.10,
234,frontend,app/frontend/src/pages/Guardrails.tsx,890,Mounted in,,approved,PR-2.10,
235,frontend,app/frontend/src/pages/Guardrails.tsx,893,Contents:,,approved,PR-2.10,
236,frontend,app/frontend/src/pages/Guardrails.tsx,1347,Loading guardrails configuration...,,approved,PR-2.10,
237,frontend,app/frontend/src/pages/Guardrails.tsx,1356,Retry,,approved,PR-2.10,
238,frontend,app/frontend/src/pages/Guardrails.tsx,1389,Red Teaming,,approved,PR-2.10,
239,frontend,app/frontend/src/pages/Guardrails.tsx,1397,Reload Config,,approved,PR-2.10,
240,frontend,app/frontend/src/pages/Guardrails.tsx,1478,Pass,,approved,PR-2.10,
241,frontend,app/frontend/src/pages/Guardrails.tsx,1478,"markResult(test.id, 'pass')}>Pass",,approved,PR-2.10,
242,frontend,app/frontend/src/pages/Guardrails.tsx,1479,Fail,,approved,PR-2.10,
243,frontend,app/frontend/src/pages/Guardrails.tsx,1479,"markResult(test.id, 'fail')}>Fail",,approved,PR-2.10,
244,frontend,app/frontend/src/pages/Guardrails.tsx,1490,Prompt,,approved,PR-2.10,
245,frontend,app/frontend/src/pages/Guardrails.tsx,1494,Expected,,approved,PR-2.10,
246,frontend,app/frontend/src/pages/Guardrails.tsx,1499,Source,,approved,PR-2.10,
247,frontend,app/frontend/src/pages/Guardrails.tsx,1766,Red Team Chat,,approved,PR-2.10,
248,frontend,app/frontend/src/pages/Guardrails.tsx,1779,Red Team Chat,,approved,PR-2.10,
249,frontend,app/frontend/src/pages/Guardrails.tsx,1786,Mark test as passed,,approved,PR-2.10,
250,frontend,app/frontend/src/pages/Guardrails.tsx,1792,Mark test as failed,,approved,PR-2.10,
251,frontend,app/frontend/src/pages/Guardrails.tsx,1798,Minimize,,approved,PR-2.10,
252,frontend,app/frontend/src/pages/Guardrails.tsx,1799,&times;,,approved,PR-2.10,
253,frontend,app/frontend/src/pages/Guardrails.tsx,1799,Close,,approved,PR-2.10,
254,frontend,app/frontend/src/pages/Guardrails.tsx,1822,Allow,,approved,PR-2.10,
255,frontend,app/frontend/src/pages/Guardrails.tsx,1822,"approveToolCall(tc.call_id, true)}>Allow",,approved,PR-2.10,
256,frontend,app/frontend/src/pages/Guardrails.tsx,1823,Deny,,approved,PR-2.10,
257,frontend,app/frontend/src/pages/Guardrails.tsx,1823,"approveToolCall(tc.call_id, false)}>Deny",,approved,PR-2.10,
